 n molecule, bond lenght (mean)                     , standart deviation
           1  0.88105689358857264        4.9255932301871868E-007
           2  0.88105695673577600        3.9691555364534011E-007
           3  0.88105669637219297        7.5816897918125830E-007
           4  0.88105733567257849        1.3634048917117415E-007
           5  0.88105698259905429        4.1193839588572469E-007
           6  0.88105707987158721        2.4480863894225593E-007
           7  0.88105651681687325        1.0157623083099755E-006
           8  0.88105723399300262        2.4588794101887684E-008
           9  0.88105713618604309        2.3957965366850878E-007
          10  0.88105761481466149        4.8273299485952837E-007
          11  0.88105726191263889        5.1168786262471295E-008
          12  0.88105697581440268        4.1342783274159089E-007
          13  0.88105690757416155        5.1689915191569584E-007
          14  0.88105724540562702        6.8498012303951433E-008
          15  0.88105741601046983        1.8964076939157513E-007
          16  0.88105723726914809        2.3541297575876566E-008
          17  0.88105723240584100        2.5807411088237923E-008
          18  0.88105684447148425        5.6000473574857761E-007
          19  0.88105700629014161        3.4421480271681189E-007
          20  0.88105718844795611        7.6901622832360723E-008
          21  0.88105666321688370        8.4280009401608486E-007
          22  0.88105675457113231        7.0622955680222805E-007
          23  0.88105714227374443        1.7949950170005963E-007
          24  0.88105649565200073        1.0377163403955890E-006
          25  0.88105707931294086        2.1683847136528623E-007
          26  0.88105690876064513        4.6744823395056146E-007
          27  0.88105735019372278        8.8179757313477872E-008
          28  0.88105676391433230        6.7325455692369311E-007
          29  0.88105659535254521        8.9863950907578692E-007
          30  0.88105669491108596        8.2129001050345399E-007
          31  0.88105647876395565        1.1484263847930586E-006
          32  0.88105706325232191        2.6560316187812247E-007
          33  0.88105677447243069        6.4005630593291925E-007
          34  0.88105665488522611        8.3399976126313498E-007
          35  0.88105735892553982        1.0111408729424958E-007
          36  0.88105708600073218        2.4905187231856643E-007
          37  0.88105720868676529        1.0709693265628170E-007
          38  0.88105757601464108        4.3831696072689758E-007
          39  0.88105727955754309        1.1987609143845612E-008
          40  0.88105678935119036        6.7637585229600653E-007
          41  0.88105732379255242        1.0543939555151526E-007
          42  0.88105725230844056        3.0746607560513115E-008
          43  0.88105712476958331        1.9470903871524225E-007
          44  0.88105719470475641        6.8015306935304754E-008
          45  0.88105671493527560        7.4124723095120318E-007
          46  0.88105682288360354        6.2313284095975231E-007
          47  0.88105745888635756        2.5637406096250527E-007
          48  0.88105681016313830        5.8117627865893728E-007
          49  0.88105741729126441        2.2920989871933614E-007
          50  0.88105756108326261        4.0279288001763151E-007
          51  0.88105769265160239        5.5263291631090565E-007
          52  0.88105744663959662        2.2964784973639528E-007
          53  0.88105708162118390        2.4481118586350556E-007
          54  0.88105770331215305        6.4837385957134516E-007
          55  0.88105735618657743        1.3416841605634012E-007
          56  0.88105752443738472        3.8956752764286083E-007
          57  0.88105738927764243        1.7289138353339414E-007
          58  0.88105722435891465        5.3971322170342658E-008
          59  0.88105740371991559        1.9390364694540145E-007
