 n molecule, bond lenght (mean)                     , standart deviation
           1  0.88103261437949809        2.0835087360142757E-005
           2  0.88104228512699512        5.9125896008984084E-005
           3  0.88102995553508945        3.8536653975238361E-005
           4  0.88105292964179138        1.8177769454305297E-005
           5  0.88107530585628846        2.0862018619606665E-005
           6  0.88098763795319091        5.0609206182645016E-005
           7  0.88113225663465722        1.1121380847084757E-004
           8  0.88109200318517156        7.8470453828302750E-005
           9  0.88105810859576739        1.7209292842757606E-005
          10  0.88101874030416971        1.7587179460601019E-005
          11  0.88110547957513441        7.0050688905494603E-005
          12  0.88107743309870301        6.2430357715341909E-005
          13  0.88110658705857237        1.4471608699368773E-004
          14  0.88103942015795678        7.8734613992717233E-005
          15  0.88106168173302579        4.0698102672920359E-005
          16  0.88113311147295159        7.4185096758928962E-005
          17  0.88108798349191186        5.1068064612766627E-005
          18  0.88104505228456043        1.9475130025272663E-005
          19  0.88094753841208195        1.0519131030802101E-004
          20  0.88103070741440448                            NaN
          21  0.88108423969732186        2.0190100493891002E-005
          22  0.88114446737790397        8.5204545177894995E-005
          23  0.88108245986898615                            NaN
          24  0.88109769540333671        3.4662004082253708E-005
          25  0.88106837782374603        5.1997279700650604E-005
          26  0.88106810922314249        9.8644263212516967E-005
          27  0.88108328295423533        5.0612492753058459E-005
          28  0.88116993771677066        1.1269948658568497E-004
          29  0.88118534323808773        1.9742962801463641E-004
          30  0.88108410969800266        5.0722795768251220E-005
          31  0.88110077710569668        6.7720841353662110E-005
          32  0.88109751299447581        1.3980012148016478E-004
          33  0.88112723097756673        6.7106597137795649E-005
          34  0.88109604262455099        1.0331276555501614E-004
          35  0.88111319571103675        9.3646982588440169E-005
          36  0.88104387874462697        1.8766068306409159E-004
          37  0.88103471398450139        3.3782526620370090E-005
          38  0.88109717668316190        7.6886555593542400E-005
          39  0.88099690212810700        7.4763398127882200E-005
          40  0.88105645999461102        1.7433933640795294E-006
          41  0.88104555124461548        7.3367113163724638E-005
          42  0.88107171554128749        4.4663748021268139E-005
          43  0.88105818004383696        3.6071032162818240E-005
          44  0.88103309536490892        8.5035963036548010E-005
          45  0.88117873855515649        1.6375232101185249E-004
          46  0.88108279143850066        4.5582268193218534E-005
          47  0.88103511346137620        4.4613858602956265E-005
          48  0.88109108284309601        1.8888621933428317E-005
          49  0.88112393516285337        6.5668017559754237E-005
          50  0.88112056601188193        1.0943270272622052E-004
          51  0.88097667720809458        7.4618477185327720E-005
          52  0.88121244935311083        4.2652678644368896E-005
          53  0.88111907791908095        8.5338224450117416E-005
          54  0.88103171471875363        1.7938578761941473E-004
          55  0.88115706881895894        1.4377681688330923E-004
          56  0.88104122722676337        2.4532828388151120E-005
          57  0.88104478434235711        9.4212451361503876E-005
          58  0.88107142523685822        6.6346708509330637E-005
          59  0.88109109009113151        1.3719246222659330E-005
          60  0.88104085205919613        1.1409428476611851E-005
          61  0.88103182102517119        2.2403924733607395E-005
          62  0.88102654598129104        4.3385633870579410E-005
          63  0.88104105195587035        6.8436006371917364E-005
          64  0.88108085100776712        4.9245403886661346E-005
          65  0.88103432499712453        4.1172945676106615E-005
          66  0.88095004621575745        1.2715406473184172E-004
          67  0.88105065188218301        1.2723399204649723E-004
          68  0.88095232607713958        1.9034728176557406E-004
          69  0.88106943400040671        7.8141580186529295E-005
          70  0.88108942551869884        7.2987507927901491E-005
          71  0.88111742930198700        4.3265125467126780E-005
          72  0.88103863857863873        5.7917253020221902E-005
          73  0.88112748191373169        8.4692814793418548E-005
          74  0.88108883239642355        4.6090363063754104E-005
          75  0.88106883642685918        8.6640558266774792E-006
          76  0.88100965368168260        7.6140027288797333E-005
          77  0.88095624088582458        1.0406172270894014E-004
          78  0.88101694560838018        2.4475516819380767E-005
          79  0.88101025554964429        1.2616443325721058E-004
          80  0.88106245777084313        7.0266104094337263E-006
          81  0.88101750135750390        1.3347786137258389E-004
          82  0.88111051598290480        5.0865230568235282E-005
          83  0.88111454686057156        1.0346623188218959E-004
          84  0.88108633411498982        5.1415928332345683E-005
          85  0.88115981968282708        1.5197305428537089E-004
          86  0.88103649600552725        1.7514533981869635E-005
          87  0.88106292505898820        3.4705310342266846E-005
          88  0.88116342820688665        2.3161767445901288E-004
          89  0.88104392176139779        3.8560490406243585E-005
          90  0.88111765487347515        1.1140671832100553E-004
          91  0.88102916905523443        1.0478143929008779E-005
          92  0.88115825830429173        1.3122437039009798E-004
          93  0.88097696671509473        9.4252634881502356E-005
          94  0.88111206343358994        9.1531877914150856E-005
          95  0.88101997500131579        3.1162917365049163E-005
          96  0.88107290615607603        9.3416758873776239E-005
          97  0.88098077481551307        2.5040564034617077E-004
          98  0.88113647964137842        1.3285958128846003E-004
          99  0.88125062755755312        1.0180151369305060E-004
         100  0.88111630327810675        3.6535065408510444E-005
         101  0.88104800571999764        4.0535663506329216E-005
         102  0.88106385452150138        3.4990985813891560E-005
