 n molecule, bond lenght (mean)                     , standart deviation
           1  0.88105468766718842        7.6374935481916497E-006
           2  0.88107826491147634        3.3455852626543103E-005
           3  0.88105432151790586        1.6765500178230800E-005
           4  0.88104373268782110        1.1818273304930758E-005
           5  0.88108152472214885        1.6356669899703371E-005
           6  0.88108240499489110        3.4159028495245005E-005
           7  0.88105435467074056        9.3062925562438403E-006
           8  0.88106225912458191        1.0012826148049187E-005
           9  0.88104523515668587        1.3269511669553377E-005
          10  0.88106226990874348        3.7716873244213718E-006
          11  0.88105343213851273        5.6394849386359288E-006
          12  0.88107242791639206        2.7670808967410178E-005
          13  0.88105842056427841        1.9454337573678321E-005
          14  0.88106223030858677        4.0087425662553617E-006
          15  0.88101173052505632        3.8964678100586162E-005
          16  0.88106505140943980        7.9802770927258767E-006
          17  0.88107904860508757        3.2164486745294650E-005
          18  0.88103123216743562        1.9864646765156146E-005
          19  0.88104244374410889        1.4461643821460946E-005
          20  0.88105947112797711        1.0927509842958991E-006
          21  0.88107917221787335        2.3431374478239111E-005
          22  0.88106851491921512        1.1174529271966530E-005
          23  0.88109691012266200        4.1533364809056021E-005
          24  0.88106811839528676        9.3945200921169075E-006
          25  0.88103181543406317        2.1306320970571616E-005
          26  0.88104565213389885        2.0344263158387273E-005
          27  0.88104051709811604        1.4028150785093686E-005
          28  0.88106069939649023        1.0715307069045343E-005
          29  0.88104744665443080        8.2667056164801864E-006
          30  0.88108008029268559        4.5757422143612319E-005
          31  0.88106932290377926        2.8933311008244012E-005
          32  0.88105636474888938        1.0751974065523381E-005
          33  0.88108391068434455        2.1994130014711182E-005
          34  0.88104585219467568        8.3769136847763882E-006
          35  0.88104467338919346        1.1579224560068686E-005
          36  0.88103833394826891        1.3767536721081115E-005
          37  0.88106574797945603        1.0637364058786862E-005
          38  0.88107801398333707        1.8762804116884879E-005
          39  0.88105500913720436        1.0372263824300790E-005
          40  0.88106859356968081        1.3709177014669358E-005
          41  0.88104576230104004        9.3422928329999069E-006
          42  0.88109274938342208        3.8672313322678219E-005
          43  0.88107371103540411        3.8804171255653474E-005
          44  0.88107602239073668        1.8435853199539192E-005
          45  0.88108135300456236        2.2327157021301186E-005
          46  0.88104259747932778        1.2058824406383844E-005
          47  0.88105600855223132        7.2008964612311211E-006
          48  0.88106547186257000        1.4194959019762227E-005
          49  0.88104116862651016        3.1643799050054945E-005
          50  0.88105486710300740        8.1216757546075704E-006
          51  0.88106530026729457        3.5681334001227574E-005
          52  0.88106515673526753        1.9638828712279721E-005
          53  0.88104248734130364        1.6361725615319910E-005
          54  0.88106749150648733        2.6011146118521578E-005
          55  0.88109157381046488        3.5920877367742485E-005
          56  0.88108039614329703        3.3603268730145677E-005
          57  0.88105895218741470        1.8120675183848690E-005
